question_id,dialog_id,level,grammar_target,dialog_text,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
1,1,5,reported speech,"A: Did you hear what the teacher said?
B: Yes, she said the project deadline was extended.
A: That’s great! We’ll have more time to prepare.",What did the teacher say?,The project was canceled,The project deadline was extended,The exam was today,The topic was changed,The project deadline was extended,Comprehension,5,False,0
2,1,5,reported speech,"A: Did you hear what the teacher said?
B: Yes, she said the project deadline was extended.
A: That’s great! We’ll have more time to prepare.",Which tense is used in reported speech?,Past,Future,Present,Conditional,Past,Grammar,5,False,0
3,1,5,reported speech,"A: Did you hear what the teacher said?
B: Yes, she said the project deadline was extended.
A: That’s great! We’ll have more time to prepare.",Why are they happy?,They have more time,They finished early,They got higher grades,They have no homework,They have more time,Inference,5,False,0
4,2,5,modal perfect (should have),"A: I missed the bus this morning.
B: You should have left earlier.
A: I know. I won’t be late tomorrow.",What happened to the speaker?,He missed the bus,He walked to school,He took a taxi,He stayed home,He missed the bus,Comprehension,5,False,0
5,2,5,modal perfect (should have),"A: I missed the bus this morning.
B: You should have left earlier.
A: I know. I won’t be late tomorrow.",What does 'should have' express?,Past regret,Future plan,Permission,Possibility,Past regret,Grammar,5,False,0
6,2,5,modal perfect (should have),"A: I missed the bus this morning.
B: You should have left earlier.
A: I know. I won’t be late tomorrow.",What will he do tomorrow?,Wake up earlier,Take the same bus,Skip school,Be late again,Wake up earlier,Inference,5,False,0
7,3,5,passive voice,"A: Who built this bridge?
B: It was built by Korean engineers in 1990.
A: It still looks strong.",Who built the bridge?,Korean engineers,American engineers,Chinese engineers,Japanese engineers,Korean engineers,Comprehension,5,False,0
8,3,5,passive voice,"A: Who built this bridge?
B: It was built by Korean engineers in 1990.
A: It still looks strong.",Which form is passive?,Was built,Built,Builds,Will build,Was built,Grammar,5,False,0
9,3,5,passive voice,"A: Who built this bridge?
B: It was built by Korean engineers in 1990.
A: It still looks strong.",When was it built?,1990,1980,2000,1995,1990,Detail,5,False,0
10,4,5,conditionals (mixed),"A: If we finish early, we can go for coffee.
B: What if we don’t?
A: Then we’ll just order takeout here.",What will they do if they finish early?,Go for coffee,Go home,Order takeout,Take a nap,Go for coffee,Comprehension,5,False,0
